object,index,x,y,z
bed1,0,-10.119,193.927,4.014
bed1,1,-10.005,193.985,4.011
bed1,2,-9.881,194.037,4.005
bed1,3,-9.765,194.085,4.000
bed1,4,-9.411,194.247,3.985
bed1,5,-9.283,194.303,3.979
bed1,6,-9.167,194.350,3.973
bed1,7,-9.059,194.393,3.968
bed1,8,-8.821,194.480,3.952
bed1,9,-8.687,194.549,3.949
bed1,10,-8.572,194.597,3.943
bed1,11,-8.454,194.657,3.939
bed1,12,-7.984,194.854,3.916
bed1,13,-7.753,194.982,3.911
bed1,14,-7.375,195.135,3.894
bed1,15,-7.261,195.184,3.890
bed1,16,-7.027,195.300,3.886
bed1,17,-6.776,195.400,3.876
bed1,18,-6.658,195.460,3.878
bed1,19,-6.528,195.513,3.876
bed1,20,-6.301,195.602,3.872
bed1,21,-5.831,195.828,3.873
bed1,22,-5.694,195.864,3.866
bed1,23,-5.584,195.923,3.868
bed1,24,-4.989,196.182,3.863
bed1,25,-4.866,196.242,3.864
bed1,26,-4.756,196.286,3.862
bed1,27,-4.623,196.334,3.859
bed1,28,-4.489,196.380,3.854
bed1,29,-4.031,196.609,3.858
bed1,30,-3.907,196.634,3.850
bed1,31,-3.790,196.710,3.856
bed1,32,-3.545,196.806,3.854
bed1,33,-3.422,196.851,3.852
bed1,34,-3.317,196.913,3.857
bed1,35,-3.196,196.954,3.853
bed1,36,-2.967,197.087,3.863
bed1,37,-2.818,197.126,3.857
bed1,38,-2.699,197.175,3.858
bed1,39,-2.593,197.225,3.860
bed1,40,-2.359,197.348,3.869
bed1,41,-2.237,197.409,3.873
bed1,42,-1.985,197.505,3.875
bed1,43,-1.866,197.566,3.881
bed1,44,-1.734,197.603,3.878
bed1,45,-1.617,197.648,3.879
bed1,46,-1.396,197.742,3.885
bed1,47,-1.269,197.785,3.884
bed1,48,-1.135,197.853,3.890
bed1,49,-0.663,198.037,3.897
bed1,50,-0.550,198.085,3.899
bed1,51,-0.312,198.198,3.908
bed1,52,-0.181,198.236,3.906
bed1,53,0.166,198.379,3.914
bed1,54,0.291,198.441,3.919
bed1,55,0.646,198.578,3.924
bed1,56,1.003,198.744,3.936
bed1,57,1.115,198.776,3.934
bed1,58,1.605,198.982,3.947
bed1,59,2.077,199.203,3.962
bed1,60,2.212,199.263,3.965
bed1,61,2.345,199.302,3.966
bed1,62,2.689,199.448,3.979
bed1,63,3.044,199.603,3.993
bed1,64,3.169,199.653,3.997
bed1,65,3.291,199.730,4.009
bed1,66,3.399,199.749,4.005
bed1,67,3.533,199.796,4.008
bed1,68,3.881,199.964,4.027
bed1,69,4.009,200.000,4.027
bed1,70,4.119,200.046,4.031
bed1,71,4.361,200.171,4.046
bed1,72,4.466,200.206,4.048
bed1,73,4.613,200.268,4.053
bed1,74,4.722,200.311,4.057
bed1,75,5.079,200.459,4.069
bed1,76,5.207,200.502,4.071
bed1,77,5.444,200.609,4.082
bed1,78,5.571,200.664,4.088
bed1,79,5.678,200.710,4.092
bed1,80,5.815,200.770,4.097
bed1,81,5.910,200.811,4.102
bed1,82,6.270,200.955,4.107
bed1,83,6.734,201.169,4.115
bed1,84,6.853,201.219,4.112
bed1,85,6.979,201.267,4.107
bed1,86,7.097,201.329,4.108
bed1,87,7.203,201.381,4.107
bed1,88,7.463,201.486,4.100
bed1,89,7.920,201.674,4.084
bed1,90,8.414,201.902,4.075
bed1,91,8.518,201.966,4.077
bed1,92,8.645,201.995,4.065
bed1,93,8.755,202.051,4.064
bed1,94,8.898,202.095,4.054
bed1,95,9.127,202.228,4.056
bed1,96,9.242,202.249,4.045
bed1,97,9.470,202.383,4.047
bed1,98,9.597,202.416,4.037
bed1,99,9.697,202.480,4.039
bed1,100,9.946,202.571,4.026
bed1,101,10.070,202.642,4.027
bed1,102,10.175,202.692,4.025
bed1,103,10.288,202.738,4.021
bed1,104,10.423,202.783,4.012
bed1,105,10.539,202.839,4.010
bed1,106,10.644,202.879,4.005
bed1,107,10.905,203.000,3.999
bed1,108,11.013,203.044,3.994
bed1,109,11.130,203.111,3.995
bed1,110,11.258,203.160,3.987
bed1,111,11.474,203.265,3.978
bed1,112,11.730,203.364,3.961
bed1,113,11.823,203.413,3.959
bed1,114,11.950,203.466,3.950
bed1,115,12.210,203.588,3.936
bed1,116,12.549,203.754,3.919
bed1,117,12.669,203.795,3.908
bed1,118,12.779,203.842,3.900
bed1,119,13.032,203.957,3.885
bed1,120,13.137,204.011,3.881
bed1,121,13.376,204.109,3.864
bed1,122,13.493,204.162,3.857
bed1,123,13.727,204.275,3.844
bed1,124,13.833,204.332,3.840
bed1,125,13.970,204.386,3.830
bed1,126,14.075,204.421,3.820
bed1,127,14.193,204.490,3.817
bed1,128,14.321,204.542,3.808
bed1,129,14.434,204.583,3.798
bed1,130,14.548,204.659,3.798
bed1,131,14.672,204.700,3.786
bed1,132,14.787,204.736,3.775
bed1,133,15.037,204.859,3.763
bed1,134,15.377,205.029,3.746
bed1,135,15.498,205.085,3.739
bed1,136,15.616,205.124,3.728
bed1,137,15.749,205.172,3.717
bed1,138,15.863,205.227,3.711
bed1,139,15.962,205.302,3.713
bed1,140,16.089,205.350,3.703
bed1,141,16.214,205.391,3.691
bed1,142,16.561,205.555,3.668
bed1,143,16.664,205.602,3.660
bed1,144,16.786,205.662,3.652
bed1,145,17.032,205.761,3.631
bed1,146,17.147,205.809,3.620
bed1,147,17.503,205.977,3.593
bed1,148,17.621,206.024,3.582
bed1,149,17.731,206.077,3.574
bed1,150,17.859,206.137,3.564
bed1,151,18.084,206.249,3.548
bed1,152,18.328,206.337,3.523
bed1,153,18.432,206.406,3.520
bed1,154,18.573,206.463,3.508
bed1,155,19.138,206.717,3.469
bed1,156,19.270,206.786,3.462
bed1,157,19.388,206.844,3.455
bed1,158,19.510,206.891,3.444
bed1,159,19.626,206.935,3.434
bed1,160,19.870,207.038,3.415
bed1,161,20.104,207.154,3.402
bed1,162,20.350,207.251,3.381
bed1,163,20.442,207.318,3.381
bed1,164,21.049,207.573,3.334
bed1,165,21.279,207.689,3.321
bed1,166,21.530,207.796,3.302
bed1,167,21.984,208.017,3.274
bed1,168,22.110,208.051,3.260
bed1,169,22.233,208.118,3.255
bed1,170,22.342,208.171,3.250
bed1,171,22.815,208.395,3.226
bed1,172,23.054,208.506,3.212
bed1,173,23.183,208.567,3.206
bed1,174,23.403,208.669,3.195
bed1,175,23.524,208.717,3.186
bed1,176,23.912,208.891,3.174
bed1,177,24.052,208.946,3.170
bed1,178,24.148,209.004,3.172
bed1,179,24.282,209.041,3.164
bed1,180,24.395,209.086,3.161
bed1,181,24.520,209.132,3.157
bed1,182,24.637,209.198,3.159
bed1,183,24.751,209.257,3.160
bed1,184,24.993,209.365,3.158
bed1,185,25.112,209.408,3.154
bed1,186,25.251,209.461,3.149
bed1,187,25.471,209.564,3.148
bed1,188,25.718,209.657,3.141
bed1,189,25.832,209.725,3.144
bed1,190,25.952,209.766,3.139
bed1,191,26.186,209.875,3.138
bed1,192,26.546,210.054,3.139
bed1,193,26.652,210.087,3.134
bed1,194,26.780,210.132,3.129
bed1,195,27.029,210.250,3.129
bed1,196,27.264,210.351,3.125
bed1,197,27.394,210.406,3.122
bed1,198,27.497,210.453,3.121
bed1,199,27.736,210.557,3.118
bed1,200,27.842,210.603,3.117
bed1,201,27.969,210.666,3.117
bed1,202,28.095,210.704,3.110
bed1,203,28.221,210.775,3.114
bed1,204,28.338,210.820,3.112
bed1,205,28.695,210.972,3.112
bed1,206,28.917,211.108,3.121
bed1,207,29.063,211.156,3.117
bed1,208,29.403,211.323,3.126
bed1,209,29.518,211.377,3.128
bed1,210,29.780,211.487,3.130
bed1,211,30.276,211.688,3.138
bed1,212,30.382,211.731,3.140
bed1,213,30.500,211.763,3.136
bed1,214,30.741,211.881,3.147
bed1,215,30.849,211.927,3.149
bed1,216,30.976,211.981,3.153
bed1,217,31.115,212.031,3.153
bed1,218,31.350,212.134,3.159
bed1,219,31.813,212.346,3.175
bed1,220,31.954,212.385,3.171
bed1,221,32.417,212.596,3.186
bed1,222,32.533,212.633,3.185
bed1,223,32.653,212.684,3.188
bed1,224,32.894,212.794,3.196
bed1,225,33.262,212.944,3.202
bed1,226,33.495,213.051,3.210
bed1,227,33.616,213.088,3.208
bed1,228,33.743,213.148,3.212
bed1,229,33.858,213.200,3.216
bed1,230,33.972,213.246,3.218
bed1,231,34.104,213.291,3.217
bed1,232,34.205,213.344,3.223
bed1,233,34.701,213.546,3.232
bed1,234,35.066,213.716,3.246
bed1,235,35.415,213.858,3.254
bed1,236,-10.400,194.253,4.140
bed1,237,-10.163,194.343,4.125
bed1,238,-9.691,194.570,4.108
bed1,239,-9.559,194.614,4.099
bed1,240,-9.455,194.670,4.096
bed1,241,-9.219,194.763,4.083
bed1,242,-8.736,194.986,4.063
bed1,243,-8.271,195.200,4.044
bed1,244,-7.887,195.360,4.025
bed1,245,-7.793,195.400,4.020
bed1,246,-7.663,195.464,4.016
bed1,247,-7.309,195.611,4.004
bed1,248,-7.194,195.681,4.005
bed1,249,-7.064,195.718,3.996
bed1,250,-6.960,195.773,3.995
bed1,251,-6.821,195.832,3.994
bed1,252,-6.692,195.879,3.990
bed1,253,-6.582,195.939,3.992
bed1,254,-6.470,195.993,3.993
bed1,255,-6.222,196.096,3.990
bed1,256,-6.088,196.152,3.988
bed1,257,-5.733,196.309,3.986
bed1,258,-5.618,196.346,3.981
bed1,259,-5.495,196.407,3.982
bed1,260,-5.026,196.613,3.981
bed1,261,-4.536,196.857,3.989
bed1,262,-4.440,196.910,3.993
bed1,263,-4.335,196.950,3.991
bed1,264,-4.198,197.002,3.989
bed1,265,-4.078,197.054,3.989
bed1,266,-3.947,197.106,3.988
bed1,267,-3.730,197.212,3.995
bed1,268,-3.349,197.354,3.993
bed1,269,-3.245,197.412,3.998
bed1,270,-3.105,197.468,3.998
bed1,271,-2.986,197.515,3.998
bed1,272,-2.758,197.621,4.004
bed1,273,-2.155,197.877,4.012
bed1,274,-2.037,197.920,4.011
bed1,275,-1.793,198.020,4.015
bed1,276,-1.431,198.176,4.023
bed1,277,-1.319,198.224,4.026
bed1,278,-0.960,198.374,4.033
bed1,279,-0.845,198.429,4.037
bed1,280,-0.713,198.472,4.036
bed1,281,-0.597,198.530,4.041
bed1,282,-0.473,198.585,4.044
bed1,283,-0.358,198.636,4.048
bed1,284,-0.130,198.732,4.052
bed1,285,-0.005,198.778,4.052
bed1,286,0.118,198.825,4.054
bed1,287,0.255,198.881,4.056
bed1,288,0.349,198.923,4.059
bed1,289,0.473,198.967,4.059
bed1,290,0.712,199.097,4.073
bed1,291,1.066,199.238,4.078
bed1,292,1.197,199.297,4.082
bed1,293,1.326,199.352,4.086
bed1,294,1.560,199.459,4.097
bed1,295,1.673,199.505,4.100
bed1,296,2.386,199.799,4.122
bed1,297,2.508,199.847,4.125
bed1,298,2.627,199.909,4.133
bed1,299,2.740,199.967,4.141
bed1,300,2.870,200.009,4.140
bed1,301,3.111,200.117,4.150
bed1,302,3.362,200.215,4.154
bed1,303,3.465,200.255,4.156
bed1,304,3.595,200.304,4.158
bed1,305,3.707,200.359,4.164
bed1,306,3.834,200.406,4.165
bed1,307,4.066,200.525,4.180
bed1,308,4.311,200.609,4.180
bed1,309,4.562,200.717,4.189
bed1,310,4.681,200.749,4.187
bed1,311,4.799,200.801,4.193
bed1,312,5.036,200.910,4.204
bed1,313,5.392,201.047,4.212
bed1,314,5.861,201.256,4.233
bed1,315,6.010,201.293,4.230
bed1,316,6.230,201.402,4.243
bed1,317,6.346,201.433,4.242
bed1,318,6.465,201.490,4.248
bed1,319,6.810,201.631,4.241
bed1,320,6.934,201.703,4.243
bed1,321,7.053,201.745,4.238
bed1,322,7.289,201.856,4.234
bed1,323,7.391,201.914,4.235
bed1,324,7.522,201.968,4.229
bed1,325,7.641,202.014,4.224
bed1,326,8.111,202.214,4.208
bed1,327,8.362,202.318,4.198
bed1,328,8.468,202.371,4.197
bed1,329,8.591,202.418,4.191
bed1,330,8.834,202.527,4.184
bed1,331,8.945,202.579,4.182
bed1,332,9.183,202.699,4.179
bed1,333,9.422,202.799,4.170
bed1,334,9.542,202.845,4.164
bed1,335,9.780,202.946,4.156
bed1,336,10.028,203.058,4.149
bed1,337,10.144,203.114,4.147
bed1,338,10.499,203.275,4.137
bed1,339,10.619,203.334,4.135
bed1,340,10.749,203.380,4.128
bed1,341,11.075,203.519,4.115
bed1,342,11.206,203.603,4.116
bed1,343,11.432,203.699,4.104
bed1,344,11.787,203.846,4.082
bed1,345,11.918,203.892,4.071
bed1,346,12.027,203.942,4.064
bed1,347,12.144,203.999,4.058
bed1,348,12.263,204.061,4.053
bed1,349,12.619,204.212,4.029
bed1,350,12.748,204.280,4.024
bed1,351,12.861,204.314,4.012
bed1,352,12.969,204.384,4.012
bed1,353,13.205,204.499,4.000
bed1,354,13.329,204.539,3.988
bed1,355,13.806,204.754,3.959
bed1,356,14.265,204.963,3.932
bed1,357,14.512,205.063,3.913
bed1,358,14.626,205.121,3.908
bed1,359,14.754,205.180,3.901
bed1,360,14.981,205.290,3.889
bed1,361,15.106,205.341,3.880
bed1,362,15.221,205.393,3.873
bed1,363,15.324,205.441,3.867
bed1,364,15.579,205.544,3.848
bed1,365,15.820,205.673,3.838
bed1,366,15.936,205.696,3.824
bed1,367,16.053,205.757,3.819
bed1,368,16.139,205.813,3.818
bed1,369,16.270,205.877,3.808
bed1,370,16.407,205.926,3.794
bed1,371,16.498,205.970,3.788
bed1,372,16.751,206.077,3.765
bed1,373,16.862,206.137,3.759
bed1,374,16.993,206.190,3.746
bed1,375,17.087,206.243,3.741
bed1,376,17.222,206.292,3.727
bed1,377,17.348,206.364,3.721
bed1,378,17.685,206.507,3.691
bed1,379,18.029,206.664,3.663
bed1,380,18.161,206.724,3.652
bed1,381,18.403,206.844,3.635
bed1,382,18.525,206.875,3.621
bed1,383,18.768,206.987,3.603
bed1,384,19.003,207.080,3.583
bed1,385,19.218,207.210,3.576
bed1,386,19.349,207.261,3.565
bed1,387,19.463,207.320,3.559
bed1,388,19.578,207.377,3.552
bed1,389,19.697,207.414,3.540
bed1,390,20.396,207.747,3.495
bed1,391,20.518,207.801,3.486
bed1,392,20.644,207.855,3.477
bed1,393,21.237,208.116,3.434
bed1,394,21.359,208.177,3.428
bed1,395,21.465,208.234,3.424
bed1,396,21.577,208.304,3.422
bed1,397,21.826,208.398,3.402
bed1,398,21.948,208.441,3.391
bed1,399,22.181,208.565,3.382
bed1,400,22.413,208.656,3.366
bed1,401,22.534,208.725,3.363
bed1,402,22.662,208.781,3.355
bed1,403,22.767,208.820,3.347
bed1,404,23.367,209.109,3.319
bed1,405,23.493,209.151,3.308
bed1,406,23.622,209.222,3.308
bed1,407,23.872,209.323,3.301
bed1,408,23.996,209.368,3.296
bed1,409,24.245,209.478,3.292
bed1,410,24.356,209.524,3.289
bed1,411,24.704,209.678,3.285
bed1,412,24.821,209.737,3.286
bed1,413,24.968,209.801,3.283
bed1,414,25.303,209.934,3.275
bed1,415,25.431,209.990,3.273
bed1,416,25.670,210.105,3.273
bed1,417,25.806,210.156,3.269
bed1,418,25.907,210.207,3.269
bed1,419,26.041,210.254,3.264
bed1,420,26.147,210.304,3.264
bed1,421,26.385,210.397,3.257
bed1,422,26.631,210.518,3.258
bed1,423,26.750,210.576,3.258
bed1,424,26.862,210.623,3.256
bed1,425,26.968,210.668,3.254
bed1,426,27.214,210.781,3.253
bed1,427,27.459,210.904,3.257
bed1,428,27.576,210.980,3.264
bed1,429,27.687,211.013,3.259
bed1,430,28.061,211.174,3.256
bed1,431,28.159,211.225,3.259
bed1,432,28.295,211.271,3.256
bed1,433,28.393,211.332,3.262
bed1,434,28.530,211.376,3.258
bed1,435,28.645,211.434,3.261
bed1,436,28.778,211.475,3.257
bed1,437,29.004,211.579,3.261
bed1,438,29.247,211.698,3.269
bed1,439,29.498,211.794,3.268
bed1,440,29.735,211.894,3.272
bed1,441,29.873,211.959,3.277
bed1,442,29.979,211.998,3.277
bed1,443,30.229,212.116,3.287
bed1,444,30.346,212.162,3.289
bed1,445,30.472,212.192,3.284
bed1,446,30.570,212.255,3.293
bed1,447,30.704,212.309,3.295
bed1,448,30.806,212.367,3.302
bed1,449,30.939,212.404,3.299
bed1,450,31.058,212.453,3.301
bed1,451,31.168,212.502,3.304
bed1,452,31.302,212.539,3.301
bed1,453,31.544,212.652,3.310
bed1,454,31.791,212.748,3.312
bed1,455,31.900,212.807,3.319
bed1,456,32.241,212.960,3.329
bed1,457,32.376,213.019,3.333
bed1,458,32.612,213.117,3.338
bed1,459,32.874,213.215,3.339
bed1,460,33.103,213.323,3.348
bed1,461,33.460,213.483,3.360
bed1,462,33.569,213.517,3.358
bed1,463,33.808,213.631,3.368
bed1,464,33.937,213.685,3.371
bed1,465,34.047,213.739,3.376
bed1,466,34.287,213.826,3.377
bed1,467,34.541,213.924,3.381
bed1,468,34.772,214.019,3.387
bed1,469,35.020,214.129,3.396
bed1,470,35.130,214.164,3.395
bed1,471,35.253,214.229,3.403
bed1,472,-10.567,194.619,4.255
bed1,473,-9.863,194.939,4.225
bed1,474,-9.725,195.003,4.219
bed1,475,-9.597,195.041,4.209
bed1,476,-9.490,195.094,4.206
bed1,477,-9.378,195.139,4.199
bed1,478,-9.135,195.265,4.193
bed1,479,-9.021,195.318,4.188
bed1,480,-8.793,195.406,4.175
bed1,481,-8.671,195.457,4.169
bed1,482,-8.410,195.570,4.156
bed1,483,-8.317,195.615,4.153
bed1,484,-8.070,195.726,4.142
bed1,485,-7.952,195.787,4.139
bed1,486,-7.822,195.842,4.134
bed1,487,-7.702,195.884,4.127
bed1,488,-7.584,195.960,4.130
bed1,489,-7.479,196.012,4.128
bed1,490,-7.232,196.090,4.112
bed1,491,-7.104,196.157,4.112
bed1,492,-6.980,196.219,4.113
bed1,493,-6.753,196.311,4.109
bed1,494,-6.616,196.346,4.102
bed1,495,-6.505,196.433,4.111
bed1,496,-6.396,196.465,4.106
bed1,497,-6.260,196.515,4.104
bed1,498,-5.917,196.700,4.114
bed1,499,-5.792,196.738,4.108
bed1,500,-5.674,196.794,4.109
bed1,501,-5.536,196.851,4.109
bed1,502,-5.309,196.952,4.112
bed1,503,-5.195,196.997,4.112
bed1,504,-5.083,197.057,4.116
bed1,505,-4.970,197.124,4.122
bed1,506,-4.837,197.172,4.119
bed1,507,-4.704,197.212,4.115
bed1,508,-4.595,197.268,4.119
bed1,509,-4.469,197.319,4.120
bed1,510,-4.233,197.420,4.123
bed1,511,-3.874,197.589,4.132
bed1,512,-3.757,197.636,4.132
bed1,513,-3.532,197.731,4.134
bed1,514,-3.391,197.781,4.133
bed1,515,-2.909,198.004,4.143
bed1,516,-2.801,198.027,4.137
bed1,517,-2.559,198.144,4.144
bed1,518,-2.219,198.290,4.149
bed1,519,-2.071,198.343,4.148
bed1,520,-1.952,198.374,4.143
bed1,521,-1.835,198.449,4.153
bed1,522,-1.470,198.595,4.158
bed1,523,-1.250,198.710,4.170
bed1,524,-1.110,198.742,4.164
bed1,525,-0.997,198.791,4.167
bed1,526,-0.641,198.959,4.180
bed1,527,-0.511,199.003,4.179
bed1,528,-0.400,199.054,4.183
bed1,529,-0.284,199.102,4.185
bed1,530,-0.176,199.149,4.188
bed1,531,-0.031,199.195,4.186
bed1,532,0.067,199.268,4.198
bed1,533,0.440,199.408,4.201
bed1,534,0.695,199.497,4.205
bed1,535,0.782,199.569,4.220
bed1,536,1.038,199.662,4.222
bed1,537,1.144,199.718,4.229
bed1,538,1.276,199.774,4.234
bed1,539,1.510,199.870,4.242
bed1,540,1.763,199.964,4.248
bed1,541,2.124,200.119,4.263
bed1,542,2.249,200.175,4.269
bed1,543,2.580,200.307,4.280
bed1,544,2.726,200.367,4.284
bed1,545,2.831,200.422,4.292
bed1,546,2.942,200.463,4.293
bed1,547,3.059,200.522,4.301
bed1,548,3.199,200.587,4.307
bed1,549,3.314,200.634,4.310
bed1,550,3.424,200.671,4.309
bed1,551,3.561,200.720,4.310
bed1,552,3.664,200.772,4.317
bed1,553,3.910,200.876,4.324
bed1,554,4.036,200.925,4.326
bed1,555,4.263,201.028,4.335
bed1,556,4.625,201.165,4.340
bed1,557,4.741,201.216,4.344
bed1,558,5.110,201.382,4.359
bed1,559,5.217,201.432,4.364
bed1,560,5.347,201.472,4.363
bed1,561,5.464,201.526,4.368
bed1,562,5.702,201.620,4.372
bed1,563,5.820,201.671,4.375
bed1,564,6.079,201.764,4.376
bed1,565,6.639,202.026,4.385
bed1,566,6.767,202.078,4.381
bed1,567,6.892,202.128,4.377
bed1,568,7.247,202.286,4.368
bed1,569,7.367,202.351,4.368
bed1,570,7.487,202.397,4.362
bed1,571,7.715,202.501,4.355
bed1,572,7.952,202.600,4.346
bed1,573,8.073,202.651,4.341
bed1,574,8.190,202.705,4.338
bed1,575,8.319,202.740,4.326
bed1,576,8.450,202.805,4.325
bed1,577,8.557,202.859,4.323
bed1,578,8.679,202.910,4.318
bed1,579,8.783,202.966,4.317
bed1,580,8.916,203.011,4.309
bed1,581,9.043,203.080,4.308
